Set,RI1,RI2,RI3,RI4,RI5,RI6,RI7,RI8,RI9,RI10,RI11,RI12,RI13,RI14,RI15,RI16,RI17,RI18
eALs001,carrier,reference,unused,unused,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,neg
eALs002,carrier,reference,unused,unused,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,neg,sc
eALs003,carrier,reference,unused,unused,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,neg,sc,sc
eALs004,carrier,reference,unused,unused,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc
eALs005,carrier,reference,unused,unused,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc
eALs006,carrier,reference,unused,unused,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc
eALs007,carrier,reference,unused,unused,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc
eALs008,carrier,reference,unused,unused,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc
eALs009,carrier,reference,unused,unused,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc
eALs010,carrier,reference,unused,unused,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,neg
eALs011,carrier,reference,unused,unused,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,neg,sc
eALs012,carrier,reference,unused,unused,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,neg,sc,sc
eALs013,carrier,reference,unused,unused,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc
eALs014,carrier,reference,unused,unused,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc
eALs015,carrier,reference,unused,unused,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc
eALs016,carrier,reference,unused,unused,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc,sc
